[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[06:40:35]   Queue size: 2952
[06:47:13]   [10/2952] discard=2 maybe=0 keep=8 err=0 rate=0.03/s eta=1953min
[06:53:32]   [20/2952] discard=7 maybe=0 keep=13 err=0 rate=0.03/s eta=1899min
[07:00:18]   [30/2952] discard=13 maybe=2 keep=15 err=0 rate=0.03/s eta=1921min
[07:06:42]   [40/2952] discard=17 maybe=7 keep=16 err=0 rate=0.03/s eta=1901min
[07:13:06]   [50/2952] discard=22 maybe=7 keep=21 err=0 rate=0.03/s eta=1888min
[07:20:15]   [60/2952] discard=27 maybe=8 keep=25 err=0 rate=0.03/s eta=1912min
[07:26:52]   [70/2952] discard=32 maybe=9 keep=29 err=0 rate=0.03/s eta=1906min
[07:33:30]   [80/2952] discard=38 maybe=11 keep=31 err=0 rate=0.03/s eta=1900min
[07:40:01]   [90/2952] discard=46 maybe=11 keep=33 err=0 rate=0.03/s eta=1890min
[07:46:33]   [100/2952] discard=50 maybe=13 keep=37 err=0 rate=0.03/s eta=1882min
[07:53:15]   [110/2952] discard=51 maybe=14 keep=45 err=0 rate=0.03/s eta=1878min
[07:59:58]   [120/2952] discard=54 maybe=17 keep=49 err=0 rate=0.03/s eta=1873min
[08:06:46]   [130/2952] discard=54 maybe=17 keep=59 err=0 rate=0.03/s eta=1871min
[08:13:31]   [140/2952] discard=57 maybe=19 keep=64 err=0 rate=0.03/s eta=1867min
[08:19:58]   [150/2952] discard=61 maybe=20 keep=69 err=0 rate=0.03/s eta=1857min
[08:26:33]   [160/2952] discard=65 maybe=22 keep=73 err=0 rate=0.03/s eta=1849min
[08:33:04]   [170/2952] discard=70 maybe=24 keep=76 err=0 rate=0.03/s eta=1841min
[08:40:05]   [180/2952] discard=72 maybe=27 keep=81 err=0 rate=0.03/s eta=1840min
[08:46:45]   [190/2952] discard=79 maybe=29 keep=82 err=0 rate=0.03/s eta=1834min
[08:53:19]   [200/2952] discard=82 maybe=33 keep=85 err=0 rate=0.03/s eta=1827min
[08:59:47]   [210/2952] discard=88 maybe=37 keep=85 err=0 rate=0.03/s eta=1818min
[09:06:26]   [220/2952] discard=92 maybe=42 keep=86 err=0 rate=0.03/s eta=1811min
[09:12:46]   [230/2952] discard=99 maybe=42 keep=89 err=0 rate=0.03/s eta=1801min
[09:19:54]   [240/2952] discard=105 maybe=44 keep=91 err=0 rate=0.03/s eta=1800min
[09:26:33]   [250/2952] discard=111 maybe=46 keep=93 err=0 rate=0.03/s eta=1794min
[09:33:04]   [260/2952] discard=116 maybe=46 keep=98 err=0 rate=0.03/s eta=1786min
[09:39:47]   [270/2952] discard=122 maybe=49 keep=99 err=0 rate=0.03/s eta=1780min
[09:46:19]   [280/2952] discard=127 maybe=53 keep=100 err=0 rate=0.03/s eta=1773min
[09:52:56]   [290/2952] discard=133 maybe=55 keep=102 err=0 rate=0.03/s eta=1766min
[09:59:12]   [300/2952] discard=137 maybe=58 keep=105 err=0 rate=0.03/s eta=1756min
[10:05:30]   [310/2952] discard=146 maybe=58 keep=106 err=0 rate=0.03/s eta=1746min
[10:12:11]   [320/2952] discard=149 maybe=64 keep=107 err=0 rate=0.03/s eta=1740min
[10:18:31]   [330/2952] discard=156 maybe=66 keep=108 err=0 rate=0.03/s eta=1732min
[10:24:52]   [340/2952] discard=165 maybe=67 keep=108 err=0 rate=0.03/s eta=1723min
[10:31:12]   [350/2952] discard=173 maybe=68 keep=109 err=0 rate=0.03/s eta=1715min
[10:37:27]   [360/2952] discard=177 maybe=71 keep=112 err=0 rate=0.03/s eta=1705min
[10:43:46]   [370/2952] discard=181 maybe=71 keep=118 err=0 rate=0.03/s eta=1697min
[10:50:09]   [380/2952] discard=189 maybe=73 keep=118 err=0 rate=0.03/s eta=1689min
[10:56:26]   [390/2952] discard=193 maybe=77 keep=120 err=0 rate=0.03/s eta=1681min
[11:02:42]   [400/2952] discard=197 maybe=83 keep=120 err=0 rate=0.03/s eta=1672min
[11:08:57]   [410/2952] discard=199 maybe=89 keep=122 err=0 rate=0.03/s eta=1664min
[11:15:11]   [420/2952] discard=203 maybe=94 keep=123 err=0 rate=0.03/s eta=1656min
[11:21:25]   [430/2952] discard=209 maybe=98 keep=123 err=0 rate=0.03/s eta=1647min
[11:27:49]   [440/2952] discard=213 maybe=104 keep=123 err=0 rate=0.03/s eta=1640min
[11:34:04]   [450/2952] discard=215 maybe=112 keep=123 err=0 rate=0.03/s eta=1632min
[11:40:25]   [460/2952] discard=215 maybe=122 keep=123 err=0 rate=0.03/s eta=1624min
[11:46:49]   [470/2952] discard=222 maybe=125 keep=123 err=0 rate=0.03/s eta=1617min
[11:53:03]   [480/2952] discard=232 maybe=125 keep=123 err=0 rate=0.03/s eta=1609min
[11:59:25]   [490/2952] discard=239 maybe=126 keep=125 err=0 rate=0.03/s eta=1602min
[12:06:02]   [500/2952] discard=247 maybe=128 keep=125 err=0 rate=0.03/s eta=1596min
[12:12:22]   [510/2952] discard=251 maybe=133 keep=126 err=0 rate=0.03/s eta=1589min
[12:18:53]   [520/2952] discard=255 maybe=138 keep=127 err=0 rate=0.03/s eta=1582min
[12:25:35]   [530/2952] discard=261 maybe=141 keep=128 err=0 rate=0.03/s eta=1577min
[12:32:12]   [540/2952] discard=267 maybe=143 keep=130 err=0 rate=0.03/s eta=1571min
[12:38:59]   [550/2952] discard=270 maybe=147 keep=133 err=0 rate=0.03/s eta=1565min
[12:45:36]   [560/2952] discard=274 maybe=148 keep=138 err=0 rate=0.03/s eta=1559min
[12:52:27]   [570/2952] discard=281 maybe=151 keep=138 err=0 rate=0.03/s eta=1554min
[12:58:47]   [580/2952] discard=289 maybe=153 keep=138 err=0 rate=0.03/s eta=1547min
[13:05:49]   [590/2952] discard=295 maybe=155 keep=140 err=0 rate=0.03/s eta=1542min
[13:12:19]   [600/2952] discard=301 maybe=158 keep=141 err=0 rate=0.03/s eta=1536min
[13:18:43]   [610/2952] discard=304 maybe=159 keep=147 err=0 rate=0.03/s eta=1529min
[13:25:28]   [620/2952] discard=309 maybe=161 keep=150 err=0 rate=0.03/s eta=1523min
[13:32:02]   [630/2952] discard=315 maybe=164 keep=151 err=0 rate=0.03/s eta=1517min
[13:38:35]   [640/2952] discard=318 maybe=167 keep=155 err=0 rate=0.03/s eta=1510min
[13:45:01]   [650/2952] discard=321 maybe=170 keep=159 err=0 rate=0.03/s eta=1503min
[13:51:32]   [660/2952] discard=325 maybe=173 keep=162 err=0 rate=0.03/s eta=1497min
[13:58:01]   [670/2952] discard=330 maybe=175 keep=165 err=0 rate=0.03/s eta=1490min
[14:04:34]   [680/2952] discard=335 maybe=176 keep=169 err=0 rate=0.03/s eta=1483min
[14:10:51]   [690/2952] discard=341 maybe=178 keep=171 err=0 rate=0.03/s eta=1476min
[14:17:43]   [700/2952] discard=344 maybe=184 keep=172 err=0 rate=0.03/s eta=1471min
[14:23:58]   [710/2952] discard=350 maybe=186 keep=174 err=0 rate=0.03/s eta=1463min
[14:30:20]   [720/2952] discard=359 maybe=187 keep=174 err=0 rate=0.03/s eta=1456min
[14:36:55]   [730/2952] discard=366 maybe=187 keep=177 err=0 rate=0.03/s eta=1450min
[14:43:20]   [740/2952] discard=372 maybe=189 keep=179 err=0 rate=0.03/s eta=1443min
[14:49:55]   [750/2952] discard=375 maybe=194 keep=181 err=0 rate=0.03/s eta=1437min
[14:56:12]   [760/2952] discard=382 maybe=195 keep=183 err=0 rate=0.03/s eta=1429min
[15:02:51]   [770/2952] discard=387 maybe=199 keep=184 err=0 rate=0.03/s eta=1423min
[15:09:16]   [780/2952] discard=394 maybe=199 keep=187 err=0 rate=0.03/s eta=1416min
[15:15:31]   [790/2952] discard=403 maybe=200 keep=187 err=0 rate=0.03/s eta=1409min
[15:21:48]   [800/2952] discard=411 maybe=201 keep=188 err=0 rate=0.03/s eta=1402min
[15:28:44]   [810/2952] discard=417 maybe=204 keep=189 err=0 rate=0.03/s eta=1397min
[15:35:18]   [820/2952] discard=426 maybe=205 keep=189 err=0 rate=0.03/s eta=1390min
[15:41:56]   [830/2952] discard=433 maybe=208 keep=189 err=0 rate=0.03/s eta=1384min
[15:48:17]   [840/2952] discard=441 maybe=209 keep=190 err=0 rate=0.03/s eta=1377min
[15:54:35]   [850/2952] discard=443 maybe=212 keep=195 err=0 rate=0.03/s eta=1370min
[16:01:07]   [860/2952] discard=448 maybe=216 keep=196 err=0 rate=0.03/s eta=1364min
[16:07:42]   [870/2952] discard=453 maybe=218 keep=199 err=0 rate=0.03/s eta=1357min
[16:14:24]   [880/2952] discard=455 maybe=224 keep=201 err=0 rate=0.03/s eta=1351min
[16:21:10]   [890/2952] discard=459 maybe=229 keep=202 err=0 rate=0.03/s eta=1345min
[16:27:42]   [900/2952] discard=466 maybe=230 keep=204 err=0 rate=0.03/s eta=1339min
[16:34:09]   [910/2952] discard=472 maybe=233 keep=205 err=0 rate=0.03/s eta=1332min
[16:40:41]   [920/2952] discard=478 maybe=234 keep=208 err=0 rate=0.03/s eta=1325min
[16:47:15]   [930/2952] discard=481 maybe=237 keep=212 err=0 rate=0.03/s eta=1319min
[16:53:53]   [940/2952] discard=488 maybe=237 keep=215 err=0 rate=0.03/s eta=1313min
