nohup: ignoring input
[22:18:06] Searching for collection named: 'a - non-SSRN Screening'
[22:18:08]   Found collection key: X5MG34TK
[22:18:08] Fetching items from collection X5MG34TK...
[22:19:20]   Queue size: 2556
[22:25:43]   [10/2556] discard=0 maybe=8 keep=2 err=0 rate=0.03/s eta=1624min
[22:32:03]   [20/2556] discard=4 maybe=14 keep=2 err=0 rate=0.03/s eta=1611min
[22:38:19]   [30/2556] discard=6 maybe=22 keep=2 err=0 rate=0.03/s eta=1599min
[22:44:36]   [40/2556] discard=15 maybe=23 keep=2 err=0 rate=0.03/s eta=1590min
[22:51:07]   [50/2556] discard=23 maybe=23 keep=4 err=0 rate=0.03/s eta=1593min
[22:57:28]   [60/2556] discard=33 maybe=23 keep=4 err=0 rate=0.03/s eta=1586min
[23:03:46]   [70/2556] discard=38 maybe=27 keep=5 err=0 rate=0.03/s eta=1578min
[23:10:14]   [80/2556] discard=40 maybe=34 keep=6 err=0 rate=0.03/s eta=1575min
[23:16:39]   [90/2556] discard=47 maybe=37 keep=6 err=0 rate=0.03/s eta=1570min
[23:23:09]   [100/2556] discard=53 maybe=40 keep=7 err=0 rate=0.03/s eta=1567min
[23:29:35]   [110/2556] discard=56 maybe=44 keep=10 err=0 rate=0.03/s eta=1562min
[23:36:19]   [120/2556] discard=60 maybe=47 keep=13 err=0 rate=0.03/s eta=1563min
[23:42:49]   [130/2556] discard=65 maybe=51 keep=14 err=0 rate=0.03/s eta=1558min
[23:49:17]   [140/2556] discard=72 maybe=52 keep=16 err=0 rate=0.03/s eta=1552min
[23:55:37]   [150/2556] discard=80 maybe=53 keep=17 err=0 rate=0.03/s eta=1544min
[00:02:09]   [160/2556] discard=85 maybe=57 keep=18 err=0 rate=0.03/s eta=1540min
[00:08:31]   [170/2556] discard=91 maybe=59 keep=20 err=0 rate=0.03/s eta=1532min
[00:15:06]   [180/2556] discard=93 maybe=62 keep=25 err=0 rate=0.03/s eta=1528min
[00:21:31]   [190/2556] discard=98 maybe=63 keep=29 err=0 rate=0.03/s eta=1521min
[00:27:57]   [200/2556] discard=102 maybe=65 keep=33 err=0 rate=0.03/s eta=1515min
[00:34:32]   [210/2556] discard=107 maybe=69 keep=34 err=0 rate=0.03/s eta=1510min
[00:40:55]   [220/2556] discard=110 maybe=72 keep=38 err=0 rate=0.03/s eta=1503min
[00:47:32]   [230/2556] discard=113 maybe=75 keep=42 err=0 rate=0.03/s eta=1499min
[00:54:02]   [240/2556] discard=118 maybe=76 keep=46 err=0 rate=0.03/s eta=1493min
[01:00:20]   [250/2556] discard=121 maybe=80 keep=49 err=0 rate=0.03/s eta=1485min
[01:06:50]   [260/2556] discard=127 maybe=82 keep=51 err=0 rate=0.03/s eta=1479min
[01:13:29]   [270/2556] discard=133 maybe=85 keep=52 err=0 rate=0.03/s eta=1474min
[01:19:49]   [280/2556] discard=140 maybe=87 keep=53 err=0 rate=0.03/s eta=1467min
[01:26:21]   [290/2556] discard=147 maybe=88 keep=55 err=0 rate=0.03/s eta=1461min
[01:32:53]   [300/2556] discard=156 maybe=88 keep=56 err=0 rate=0.03/s eta=1455min
